id	label	result_type	name	category	description	proposed_approach	guidance	method_type	method_link	next_node	next_yes	next_no
H0006	BB013_01	text	Integration of initial hazard and bioactivity data	TASK	"Integrate the in silico and in vitro predictions (BB010-012).
Analyze and integrate the results obtained in previous steps"	Combine and integrate the weight of evidence across both in silico and in vitro data to assess for hazard identification and/or highest concentration where no bioactivity could be determined across the selected assays. In assessing the weight of evidence document how the data has been combined and whether the data is in concordance or has conflicting evidence relevant modes of action (for toxicity). Document discounted assays due to quality or high cytotoxicity				H0007		
H0007	BB014_01	text	Derive Point-of-Departure estimates	TASK	Derive estimates of Point-of-Departure (POD). 					H0008		
H0008	DP10EF_01	bool	Refinement of POD needed, given problem formulation?	LOGICAL	Consider whether the confidence in the POD estimates is sufficient for the problem formulation at hand. Determine if the data obtained and generated combined provides sufficient scientific justification to support a clear Mode of action and whether this i	Document the (1) criteria that have been considered for the decision; (2) data that have been used; (3) effect thresholds considered relevant; (4) thresholds of certainty required for data used; (5) discussion points and possibly consistency checks that have been important for the decision. With evolution of NAMASTOX, increasing levels of guidance on above points will be incorporated in this decision point.	If the confidence is insufficient, perform additional testing. In case of sufficient confidence in negative results, no further testing is needed. 				H0009	Z0003
H0009	DP11EF_01	bool	Specific toxicological alerts identified? AOPs triggered? 	LOGICAL	Are any specific toxicological alerts identified? Are any alerts for perturbation of AOPs identified? If so, at what dose? Is this dose meaningful?						H0010	H0011
H0010	BB015_01	text	Generate medium-throughput in vitro toxicity data e.g., for relevant qAOPs or Defined Approaches	TASK	This is a box that stands for a complex subroutine. The choice of NAM and the type of subroutine depends on the problem formulaton and the data generated in more upstream parts. For some narrowly defined problem formulations, more defined subroutines can 					H0012		
H0011	BB018_01	text	Generate medium-throughput in vitro toxicity data	TASK	Not clear what BB015 and BB018 exactly mean					H0012		
H0012	BB016_01	text	In vitro biokinetics	TASK	Not clear what is the difference between BB012 and BB016					H0013		
H0013	BB017_01	text	Integration of results	TASK	Integrate the results from more complex in vitro tests (BB015 and BB016).					H0014		
H0014	BB041_01	text	Derive refined point of departure	TASK						H0015		
H0015	DP12EF_01	bool	PoD sufficiently refined? Confidence in PoD increased?	LOGICAL	Did the results obtained from more complex in vitro tests result in sufficient refinement of the POD and its associated level of uncertainty?	Document the (1) criteria that have been considered for the decision; (2) data that have been used; (3) effect thresholds considered relevant; (4) thresholds of certainty required for data used; (5) discussion points and possibly consistency checks that have been important for the decision. With evolution of NAMASTOX, increasing levels of guidance on above points will be incorporated in this decision point.					B0012	H0016
H0016	BB019_01	text	Explore other types of NAMs to reduce uncertainty and refine POD	TASK	This needs more specification with time. It is defined e.g. as hit follow-up strategy or as part of the description of high-quality AOP (they also specify the respective NAM (and alternative NAM) to assess KE). Some of the information required needs to be					H0015		
X0001	BB026_01	text	Compare hazard and exposure reference values	TASK	"Also feedback loop missing if ""no"".  Consider aspects for improvement and reenter into ASPA workflow"			expert		X0002		
X0002	DP19EF_01	bool	Is margin of exposure sufficient	LOGICAL							Z0004	Z0006
Z0001	REPORT_01	text	Report	END	Exit the ASPA workflow. Where applicable, integrate results with other assessments.							
Z0002	REPORT_02	text	Report	END	Exit the ASPA workflow. Where applicable, integrate results with other assessments.							
Z0003	REPORT_03	text	Report	END	Exit the ASPA workflow. Where applicable, integrate results with other assessments.							
Z0004	REPORT_04	text	Report	END	Exit the ASPA workflow. Where applicable, integrate results with other assessments.							
Z0005	REPORT_05	text	Report	END	Exit the ASPA workflow. Where applicable, integrate results with other assessments.							
Z0006	REPORT_06	text	Report	END	Consider aspect for improvement and reenter into ASPA workflow							
Z0007	REPORT_07	text	Report	END	Exit the ASPA workflow. Where applicable, integrate results with other assessments.							
