id	label	result_type	name	category	description	method_type	method_link	next_node	next_yes	next_no
H0013	DP09EF_01	bool	Information sufficient?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation. If information is considered sufficient (Yes), record the basis for this decision. If information is considered insufficient, specify the knowledge gaps or remaining uncertainties.				H0014	B0009
H0014	BB017_01	value	Derive Point-of-Departure POD	TASK	Compile all data from assays considered to be predictive of hazard. For each assay, determine concentration dependency of the effect, fit a function through the data points and determine the minimum concentration, at which hazard may be triggered (BMC or BMCL). Give a rationale why and how this BMC has been chosen. Compile all BMCs and determine which of them is considered most relevant. This one is termed PoD. Give a rationale for the choice and indicate the uncertainty of the decision. Decide (and justify) whether a single PoD is chosen or whether multiple PoD are chosen. In the latter case decide and justify whether the multiple PoD are collapsed to a single value (variance) is chosen, or whether work is continued with a distribution function of PoD.	expert		X0001		
B0011	DP05EF_01	bool	Compound mainly cleared by metabolism?	LOGICAL	An assessment of the major clearance mechanism of the compound (metabolism vs renal vs biliary excretion unchanged. Document the (1) criteria that have been considered for the decision; (2) data that have been used; (3) effect thresholds considered relevant; (4) thresholds of certainty required for data used; (5) discussion points and possibly consistency checks that have been important for the decision. With evolution of NAMASTOX, increasing levels of guidance on above points will be incorporated in this decision point.				W0001	B0001
W0001	WF02_01	text	Perform dedicated workflow for metabolites	TASK	Assess relevance of metabolite formation using the dedicated workflow			B0001		
B0001	DP03EF_01	bool	Are ADME properties known?	LOGICAL	"Search for existing ADME data and properties (in vitro to in vivo). Which PBK model is appropriate? Is anything alerting for properties not covered by the httk model, then continue to Include information about the uptake (route specific)/fraction unbound in plasma, metabolism (like clearance in liver), blood to plasma ratio. Search of existing information.
"				B0003,B0010	B0002
B0002	BB003_01	value	Generate basic set of in silico and in vitro ADME data	TASK	"The type of data is dependent on the route of administration. A tiered approach is followed using in silico predictions and complementing them with in vitro data as far as needed. For oral route this as follows. 
Tier 0 - in silico based. This include information on the absorption in the gut (no metabolism); blood and plasma binding; and renal clearance. Very conservative approach overestimation of biovailable concentration because underestimating liver clearance.
Tier 1- complement with in vitro data
Predict if metabolism in liver is significant using suitable models such as the ECCS classification. If relevant, measure clearance in relevant in vitro system (like HLM, PHHs); measure permeability in vitro (gut: PAMPA assay, CACo-2 assays etc.).
"	in silico		B0003		
B0003	BB004_01	value	Run PBPK model	TASK	Run PBPK model	in silico		B0005,E0005		
B0005	DP04EF_01	bool	Prediction of PBPK model acceptable?	LOGICAL	Prediction of PBPK model acceptable?				B0010	B0006
B0006	BB005_01	value	Generated data for additional ADME parameters	TASK	Improve PBK model using more accurate in vitro ADME data e.g. to cover active transport/enzyme induction/inhibition/low clearance compounds. Alternatively improve PBK model by integrating other relevant ADME processes into the model structure like enterohepatic circulation, saturable metabolism etc.	in vitro		B0007		
B0007	BB006_01	value	Run PBK model	TASK	Run PBK model	in silico		B0008		
B0008	DP05EF_01	bool	Prediction of PBPK model acceptable?	LOGICAL	Prediction of PBPK model acceptable?				B0010	B0009
B0009	BB007_01	text	Consider other types of relevant testing	TASK	Consider other types of relevant testing	expert		Z0002		
B0010	BB014_01	value	Derive estimates of relevant test concentrations	TASK	Derive estimates of relevant test concentrations using available information on ADME properties. Use the result for hazard testing. This would be done on tier 0 data? and would be earlier in reality. You need a quick estimate for the hazard testing even if conservative? Also consider using highest concentration from human exposure as upper limit.	expert		H0011		
E0001	BB022_01	text	Screen possible exposure scenarios	TASK	Screening possible exposure scenarios involves systematically identifying and evaluating situations where individuals or the environment might come into contact with a substance on factors sources/pathways, volume distribution, target population (workers, consumers, general population), data/quantification. Collecting data of most suitable exposure modelling scenarios/available measurement data. Example questions to be answered: Description of possible sources and routes, resulting in a description of multiple scenarios. What is the target population (workers, consumers, general population)? Data availability search.	expert		E0002		
E0002	DP10EF_01	bool	Is TTC applicable?	LOGICAL	Is TTC applicable?				E0008	E0003
E0003	BB023_01	value	Estimate external exposure	TASK	Estimate external exposure	expert		E0004		
E0004	BB024_01	value	Determine maximum exposure Emax	TASK	"Calculate for each population the highest exposure (worst-case) for relevant source(s) and route(s) using the collected data and absorption efficiency. Considering factors such as frequency and duration. Outcome is the input for high-content in vitro data and HT PBK model
Input assumptions: problem formulation includes a defined exposure scenario. Output data: data, e.g, in mg/m3, mg/cm2 (+ exposed area), mg/day or mg/kg b.w./day of maximum exposure (concentration and dose?, dose for ranking below)"	expert		B0003,E0005		
E0005	BB028_01	value	Calculate internal exposure using Emax	TASK	Calculate internal exposure using Emax	expert		X0001		
E0006	BB029_01	value	Refine exposure estimate, for example dominant pathway	TASK	Refine exposure estimate, for example dominant pathway	expert		E0007		
E0007	BB030_01	value	Calculate internal exposure, refined	TASK	Calculate internal exposure, refined	expert		X0001		
E0008	BB023_01	value	Estimate external exposure	TASK	Estimate external exposure	expert		E0009		
E0009	BB024_01	value	Determine maximum exposure Emax	TASK	"Calculate for each population the highest exposure (worst-case) for relevant source(s) and route(s) using the collected data and absorption efficiency. Considering factors such as frequency and duration. Outcome is the input for high-content in vitro data and HT PBK model
Input assumptions: problem formulation includes a defined exposure scenario. Output data: data, e.g, in mg/m3, mg/cm2 (+ exposed area), mg/day or mg/kg b.w./day of maximum exposure (concentration and dose?, dose for ranking below)"	expert		E0010		
E0010	BB025_01	text	Perform TTC approach	TASK	Perform TTC approach	expert		E0011		
E0011	DP11EF_01	bool	Is Emax lower than TTC?	LOGICAL	Is Emax lower than TTC?				Z0003	E0012
E0012	BB026_01	value	Refine estimation of Emax with further data	TASK	Refine estimation of Emax with further data	expert		E0013		
E0013	BB025_01	text	Perform TTC approach	TASK	Perform TTC approach	expert		E0014		
E0014	DP11EF_01	bool	Is Emax lower than TTC?	LOGICAL	Is Emax lower than TTC?				Z0004	E0003
X0001	BB018_01	text	Compare POD with exposure	TASK	Compare POD with exposure.			X0002		
X0002	DP14EF_01	bool	Is the outcome acceptable?	LOGICAL	Is the outcome acceptable?				Z0005	X0003,E0006
X0003	DP12EF_01	bool 	Is deterministic refinement possible?	LOGICAL	Refinement of the exposure estimate depending on the problem formulation. Iterative process which involves incorporation of new data, improving models and reducing uncertainties. This may involve additional data collection to improve the understanding of a specific exposure scenario.				X0006	X0004
X0004	DP13EF_01	bool	Is probabilistic refinement possible?	LOGICAL	Refinement of the estimate depending on the problem formulation, such as realistic scenarios for the population of interest and refined timing of exposure. Refine the exposure assessment using NAM data on additional ADME parameters such as bioaccumulation and excretion rates. This iterative process enhances the accuracy and reliability of the exposure estimates over time. Refine the aggregate exposure estimate by taking into account timing and duration of each exposure event.				X0006	X0005
X0005	BB032_01	text	Generate or collect data needed for probabilistic approaches	TASK	Generate or collect data needed for probabilistic approaches.	expert		X0006		
X0006	BB031_01	value	Calculate internal exposure, further refined	TASK	Calculate internal exposure, further refined.	expert		X0001		
Z0001	EXIT1	text	Risk assessment report	END	Exit the ASPA workflow.					
Z0002	EXIT2	text	Risk assessment report	END	Exit the ASPA workflow.					
Z0003	EXIT3	text	Risk assessment report	END	Exit the ASPA workflow.					
Z0004	EXIT4	text	Risk assessment report	END	Exit the ASPA workflow.					
Z0005	EXIT5	text	Risk assessment report	END	Exit the ASPA workflow.					
