id	label	result_type	name	category	description	method_type	input	output	next_node	next_yes	next_no	guidance	comments
H0002	OP050_01	text	"Review for alerts for 
specific endpoints "	OPERATOR	Check whether there is information (relevant and significant) that indicates a potential of the test chemical to trigger certain specific toxicological endpoints that are not at the core of the ASPA workflow (e.g. skin sensitization, genotoxicity, topical toxicity). Judge this information (weight-of-evidence) and come to a decision for one or more of the specific endpoints.	"(1) Consider for this DP, what is relevant in the context of the problem formulation. If there is an alert for skin irritation, but this is not relevant for the problem formulation, then the answer should be ""No"".
Genotoxicity alerts can take a special role, as they may lead to a termination of the ASPA, and to a change of information requirements. 
(2) Evaluate the strength of the alert (in most cases based on QSAR models, possibly also based on experimental gene expression data, or based on legacy data). Decide on whether the alert is significant enough to enter specific downstream modules for confirmation."	Document the (1) criteria that have been considered for the decision; (2) data that have been used; (3) effect thresholds considered relevant; (4) thresholds of certainty required for data used; (5) discussion points and possibly consistency checks that have been important for the decision. With evolution of NAMASTOX, increasing levels of guidance on above points will be incorporated in this decision point.		H0005,H0003		  	REPORT_03	
H0003	WF03_01		Module for specific endpoints like acute topical toxicity or genotoxicity	MODULE	Perform relevant Defined Approaches based and/or dedicated tests to confirm or characterize alert(s)	To be defined in detail later, as it refers to an entire set of modules which are not in the core ASPA workflow	There are OECD-recognized NAM-based approaches that may be used. The focus of ASPA is presently not on these toxicity endpoints		H0004		 	n.a.	ML: This box is strange. It should rather be a transfer box to final reporting. The final report would then state that a full risk assessment was not performed because compound was considered genotoxic and thus outside the applicability range of the ASPA version
H0004	REPORT_03		Report on specific toxicity endpoints 	END	Create report e.g. of the genotoxicity assessment		In case of genotoxic hazard, consider to exit the ASPA workflow.				 	OP051	AWfor column F: Currently doesn't meet suggested parameters and could reduce to perform a relevant bioacivity screen using high throughput assays that can be justified as addressing the problem formulation and/or supplementing the findings from the in silico screen. Can be performed at either AOP level or at a broader endpoint level.  Rest of information from These assays .... should be shifted to either guidance or proposed approach.
H0005	BB011_02	text	Identify bioactivity	TASK	"(1) Use an assembly of assays with a broad biological coverage. Ideally, all potential bioactivities that may lead to adverse reactions should be captured.
(2) The concentration range of the assays should be chosen and account for the potential exposure scenario as well as solubility or cytotoxicity limits with a clear justification related to the problem formulation for the top concentration chosen and range used. 
(3) The compound under consideration should fit within the defined applicability domains of the assays utilised. 
(4) Testing involves also the data processing and data interpretation procedure associated with the respective assays (e.g. deriving a PoD and determining uncertainty)."	"Perform the required number of biological and technical replicates and different concentrations as described in the assay specification (e.g. ToxTemp). Determine concentration ranges with no effect, potentially specific effects, and of general cytotoxicity. Document the outputs from the assays providing overall result classification, quantitative values an evaluation of data quality as well as variability, such as standard deviation or BMDL and uncertainty considerations. For concentration-response data, provide graphs within the reports for each assay.
Include the data interpretation method for 1) how a quantitative POD analysis has been performed or 2) how a positive/negative classification has been defined as well as the software used.  Incorporate reasoning for use of software, and version and how the POD relates to the activity for example AC50/AC20 values BMD/ BMDL value.
Assay requirements are as follows. Assays can be from commercial or other sources, but they all should be highly reliable and transparently descibed (including a clear  standard operating procedure). All test compound data must be accompanied by suitable  positive and negative control data. The assay performance needs to be documented; assay readiness status depends on the problem formulation, but need to be indicated in all cases.
Example for such assays (RH3R version of ASPA) are stress reporter assays including ToxTracker, Calux receptor binding assays, cytotoxicity assays in 3 cell lines (proliferating HepG2, LUHMES, RPTEC), and a Tempo-SEQ HTTr assays in PHH cells and RPTEC. "	Use data-driven approach or AOP-based approach. Both options should be incorporated  (AW extension of guidance)  Define and justify the set of assays used at this stage and why they are relevant to cover the key endpoint(s) related to the defined problem formulation and the requirement for this task stage eg - Mode of action determination, AOp supporting evidence, Protection goal.  Supporting evidence should be provided to indicate why these assays are sufficient in coverage/relevance and examples include - a) assays relate to positive findings and associated AOPs indentified from in silico predictions for hazard characterisation.  Assays have met and are performed at a technical readiness level that is sufficient to provide confidence in the determined end result whether this is qualitative or quantifiable. Additional considerations should include dose range performed - in vitro assays cover the expected exposure predicted from PBPK, range extends up to solubility limits, cytotox limits or 500uM/ 100x cMax and that these are greater than expected internal exposure.   Metabolism has been accounted for within the assays based on predictions frm ADME pillar. For those that are grouped within a 		H0006		 	OP013	
H0006	OP051_01	text	"Review for alerts for 
specific endpoints "	OPERATOR	Check whether there is information (relevant and significant) that indicates a potential of the test chemical to trigger certain specific toxicological endpoints that are not at the core of the ASPA workflow (e.g. skin sensitization, genotoxicity, topical toxicity). Judge this information (weight-of-evidence) and come to a decision for one or more of the specific endpoints.	"(1) Consider for this DP, what is relevant in the context of the problem formulation. If there is an alert for skin irritation, but this is not relevant for the problem formulation, then the answer should be ""No"".
Genotoxicity alerts can take a special role, as they may lead to a termination of the ASPA, and to a change of information requirements. 
(2) Evaluate the strength of the alert (in most cases based on QSAR models, possibly also based on experimental gene expression data, or based on legacy data). Decide on whether the alert is significant enough to enter specific downstream modules for confirmation."	Document the (1) criteria that have been considered for the decision; (2) data that have been used; (3) effect thresholds considered relevant; (4) thresholds of certainty required for data used; (5) discussion points and possibly consistency checks that have been important for the decision. With evolution of NAMASTOX, increasing levels of guidance on above points will be incorporated in this decision point.		H0007,H0003		 	DP10	previous info This task is complex and will be refined with time. It is also likely that this tasks is part of an optimisatin cycle during which more and more information is gathered until the integration of it leads to conclusion suseful for further steps in teh ASPA and for risk assessment. Several steps/levels may be envisaged. Some are necessary, additional ones may be included: (1) determine the highest non-bioactive (or non-hazardous, if possible) concentration. (2) determine the highest non-cytotoxic concentration. (3) Determine whether the compounds target(s) are known. (4) Determine whether the compound is likely to activate certain AOP. (5) Provide an estimate on whether potential hazardous effects have been identified with sufficient sensitivity (low FN rate). (6) Identify gaps of information to come to clear solutions. (7) Suggest information gaps to be filled by low-throughput, detailed testing.
H0007	OP013_01	text	Integration of initial hazard/bioactivity data & derive Point-of-Departure (POD) estimate	OPERATOR	"Integrate the in silico and in vitro predictions. Analyze and integrate the results obtained in previous steps. Derive estimates of Point-of-Departure (POD). 
"	"Combine and integrate the weight of evidence across both in silico and in vitro data to assess for hazard identification and/or highest concentration where no bioactivity could be determined across the selected assays. In assessing the weight of evidence document how the data has been combined and whether the data is in concordance or has conflicting evidence relevant modes of action (for toxicity). Document discounted assays due to quality or high cytotoxicity

Determine whether the compound can be defined as specific acting
(1) Determine whether defined molecular target(s) (MIEs) can be identified at doses below cytotoxicity and if these can be linked to documented AOPs within AOP wiki
(2) Show that these are primary drivers for decision by being lowest POD and no other effects are observed within the same dose range
Alternatively determine the minimum bioactivity POD that can be determined
(3) determine the highest non-bioactive (or non-hazardous, if possible) concentration. 
(4) determine the highest non-cytotoxic concentration. 
(5) Provide an estimate on whether potential hazardous effects have been identified with sufficient sensitivity (low FN rate). The scientific robustness of the individual assay that for the group such as their readiness criteria.
(6) Provide Justification of the overall performance to the grouping of tools used to inform on low probability of adverse effects below determined POD concentration. Justification can be defined based on a theoretical scientific justification or from a data driven approach and should account for the chemical space of the compound being tested.
(7) Identify gaps or uncertainties remaining in information requirements for example metabolic capacity insufficient/ transporter effects cannot be explained assays don’t cover predicted or known targets. 
(8) Suggest whether information gaps need to be addressed and how by low-throughput, further additional assays to refine these eg: an assay for AChE activity, a MEA assay (ion channels, electrical activities) and assays that capture metabolic activation or specific transporters of the kidney."			H0008		 	No: BB025; Yes: BB015	
H0008	DP10EF_01	bool	Refinement of POD needed, given problem formulation?	LOGICAL	Consider whether the confidence in the POD estimates is sufficient for the problem formulation at hand. Determine if the data obtained and generated combined provides sufficient scientific justification to support a clear Mode of action and whether this is associated with known AOP(s). Consider if the data generated enables a decision to be reached based on a protective estimate of bioactivty POD and covers sufficient biolgical coverage for the endpoint(s) relevant for the probelm formulation.	Document the (1) criteria that have been considered for the decision; (2) data that have been used; (3) effect thresholds considered relevant; (4) thresholds of certainty required for data used; (5) discussion points and possibly consistency checks that have been important for the decision. With evolution of NAMASTOX, increasing levels of guidance on above points will be incorporated in this decision point.	If the confidence is insufficient, perform additional testing. In case of sufficient confidence in negative results, no further testing is needed. 			H0009	X0001	OP017	
H0009	BB015_01	text	Generate in vitro toxicity data for more (complex) NAMs	TASK	This is a box that stands for a complex subroutine. The choice of NAM and the type of subroutine depends on the problem formulaton and the data generated in more upstream parts. For some narrowly defined problem formulations, more defined subroutines can be constructed. For instance, if the problem forumulation is about DNT, then this subroutine would include testing in teh DNT-IVB, as defined by teh OECD (GD377). If the problem formulation asks about clarification of potential renal toxicity, then models of respective cell types with overexpression of relevant transporters may be used, in combination with organoid approaches or organ-on-a-chip setups that connect e.g. kidney and liver tissues.				H0010		 	DP12	
H0010	OP017_01	text	Integration of tier 2 data & Derive refined Point-of-Departure (POD)	OPERATOR	Integrate the results from more (complex) in vitro tests (BB015).				H0011		 	No: BB045; Yes: BB025	
H0011	DP12EF_01	bool	"
POD sufficiently refined?
Confidence in POD increased?"	OPERATOR	Did the results obtained from more complex in vitro tests result in sufficient refinement of the POD and its associated level of uncertainty?	Document the (1) criteria that have been considered for the decision; (2) data that have been used; (3) effect thresholds considered relevant; (4) thresholds of certainty required for data used; (5) discussion points and possibly consistency checks that have been important for the decision. With evolution of NAMASTOX, increasing levels of guidance on above points will be incorporated in this decision point.				X0001	H0012	OP030	
H0012	BB045_01	text	Generate in vitro toxicity data for more (complex) NAMs	TASK	This is a box that stands for a complex subroutine. The choice of NAM and the type of subroutine depends on the problem formulaton and the data generated in more upstream parts. For some narrowly defined problem formulations, more defined subroutines can be constructed. For instance, if the problem forumulation is about DNT, then this subroutine would include testing in teh DNT-IVB, as defined by teh OECD (GD377). If the problem formulation asks about clarification of potential renal toxicity, then models of respective cell types with overexpression of relevant transporters may be used, in combination with organoid approaches or organ-on-a-chip setups that connect e.g. kidney and liver tissues.				H0013		 	BB025	
H0013	OP030_01	text	Integration of tier 2 data & Derive refined Point-of-Departure (POD)	OPERATOR	Integrate the results from more (complex) in vitro tests (BB045).				X0001		 		The logic is now improved having an assessment box first
B0001	BB031_01	text	Assess likelyhood of metabolism of parent substance	TASK	Assess which compounds need to be considered in the ADME and hazard assessment	Use in silico tools like ECCS to predict if the substance is mainly cleared by metabolism		"
"	B0002	 	 		The logic is now improved having an assessment box first, see above
B0002	DP05EF_01	bool	Substance mainly cleared by metabolism?	LOGICAL	Asses the major clearance mechanism of the substance (metabolism vs renal vs biliary excretion unchanged)	Document the (1) criteria that have been considered for the decision; (2) data that have been used; (3) effect thresholds considered relevant; (4) thresholds of certainty required for data used; (5) discussion points and possibly consistency checks that have been important for the decision. With evolution of NAMASTOX, increasing levels of guidance on above points will be incorporated in this decision point.	"ECCS class XY lead to a yes, ECCS class aa lead to a ""no"""	yes- lead to the metabolism workflow -> WF02_01; no indiactes to the user that the ADMe WF can contibue and leads to the kinetic assessment o the parent compound -> next box is BBxyz_02	 	B0003	B0004		
B0003	WF02_01	text	Perform dedicated workflow for metabolites	MODULE	Assess relevance of metabolite formation using the dedicated workflow	is described in subtasks .....	Indication of metabolite formation by e.g. in silico tools like ECCS classification	Metabolite is formed at quantities that alerts for hazard assessment. 	B0004,H0001				
B0004	BB032_01	text	Collect existing data on ADME properties	TASK	Gather all available in silico, in vitro and even in vivo data to inform about he ADME properties of the substances identified in DP05EF and/or WF02	Perform searches in databases like Comptox/PubChem/ECHACHEM etc. and literature search	use suitable compound identifier to extract erelevant in vito or in vivo ADME data, use structral  description like a smiles code to predict properties based on QSAR tools.	measured and predicted data on absorption, metabolism and excretion, e.g. absorption rates through skin or intestinatl tract, permeability. Clearance in the liver e.g. intrinsic clerance in liver models such as microsomes, primary human hepytocytes etc.,	B0005			We have a construction error here, This logical box combines a task and a question. The task should be in a separate task box: search existing data, provide an overview of existing data, etc. Then the question can be asked, which can be answered with yes or no. --- Algorithmically it makes no sense to include a task in a decision box. A task cannot end with Yes/no	ML: we need to check the whole flow for such errors. It is not just messy thinking to combine tasks with decision boxes, it also does not work formally (the decision box is not made to contain methods, values etc, whhc belong to tasks)
B0005	DP06EF_01	bool	Are internal concentrations known?	LOGICAL	"Search for existing ADME data and properties (in vitro to in vivo).

1) Which PBK model is appropriate: Is anything alerting for properties not covered by the httk model (then continue to

Include information about the uptake (route specific)/fraction unbound in plasma, metabolism (like clearance in liver), blood to plasma ratio,
"	Document the (1) criteria that have been considered for the decision; (2) data that have been used; (3) effect thresholds considered relevant; (4) thresholds of certainty required for data used; (5) discussion points and possibly consistency checks that have been important for the decision. With evolution of NAMASTOX, increasing levels of guidance on above points will be incorporated in this decision point.				B0014	B0006		
B0006	BB004_01	text	Generate basic set of in silico, in vitro kinetic data	TASK	"The type of data is dependent on the route of administration. A tiered approach is followed using in silico predictions and complementing them with in vitro data as far as needed. For oral route this as follows.
Tier 0 - in silico based 
This include information on the absorption in the gut (no metabolism); blood and plasma binding; and renal clearance.-> very conservative approach overestimation of biovailable concentration because underestimating liver clearance.

Tier 1- complement with in vitro data
Predict if metabolism in liver is significant using suitable models such as the ECCS classification. If relevant, measure clearance in relevant in vitro system (like HLM, PHHs); measure permeability in vitro (gut: PAMPA assay, CACo-2 assays etc.).
"	Tier 0 - existing plus insilico inputs; Tier 1 generaterelevanthumanin vitro data; Tier 2 any additional data needed eg transporter kinetics depending on the complexity of the mechanisms to be included in the PBK model	in silico/human in vitro data as inputs to a PBK model	As part of the PBK model predicted half-life will be considered. If half-life is > than ?? then accumulation would potentially be a concern. Need a threshold value eg 48 hours?	B0007,E0003				ML: I feel that there should be two boxes. Check also NAMASTOX for this.  It gets totally messy if several tasks are in one box. Task 1 (=box1) would be setup (and possibly validation of the PBK model for the query compound. Possibly this may also include as output a general time concentration profile of the compound in various compartments at a given input amount (e.g. corresponding to maximal exposure). Box 2 would then be a selecttion and discussion of results, e.g. Cmax in relevant compartments, or AUC togher with uncertainties. Based on this one can then have a decision box on whether the model and its output are acceptable.
B0007	BB005_01	text	Run ht-PBK model	TASK	Decide on PBK model structure. In case that no information is available to guide the decision use an existing high throughput PBK model like Tkplate, Minimal PBK model in Simcyp, htt etc..		in silico/ in vitro information and HT PBK model. Given the complexity of formulation on inhaled and dermal routes this would be a prediction based on oral or systemic (IV) exposure	Concentration vs time profile at specified external exposure that can be used with hazard data to define MOS	B0008	 			
B0008	DP07EF_01	bool	Prediction quality of PBK model acceptable?	LOGICAL	yes - Continue with IVIVE. If not acceptable, because of low quality, high uncertainty, then continue to BB006_01	If using the PBK model together with relevant hazard and expsoure data (based on problem formulation) the MOS if sufficient then ASPA can be exited				B0014	B0009		
B0009	BB006_01	text	Generate NAM data on additional ADME parameters	TASK	Improve PBK model using more accurate in vitro ADME data e.g. to cover active transport/enzyme induction/inhibition/low clearance compounds. Alternatively improve PBK model by integrating other relevant ADME processes into the model structure like enterohepatic circulation, saturable metabolism etc.. Continue to BB007 if not already done beforehand. 		Specific modellig of transporters or other routes of expsoure eg dermal/inhalation etc	Refined estimate of internal concentration	B0010				
B0010	BB007_01	text	Run PBK model	TASK	Adopt (if neccessary)  the PBK approach, e.g. by including more ADME data and/or processes				B0011,E0008				
B0011	DP08EF_01	bool	Prediction quality of PBK model acceptable?	LOGICAL	yes - Continue with IVIVE. If not acceptable, because of low quality, high uncertainty, then continue to generate more and better ADME parameters (BB006_02) or continue with other testing (WFxx_yy)	Document the (1) criteria that have been considered for the decision; (2) data that have been used; (3) effect thresholds considered relevant; (4) thresholds of certainty required for data used; (5) discussion points and possibly consistency checks that have been important for the decision. With evolution of NAMASTOX, increasing levels of guidance on above points will be incorporated in this decision point.				X0001	B0012		
B0012	BB046_01	text	Generate additional NAM data on ADME parameters	TASK	Improve PBK model using more accurate in vitro ADME data e.g. to cover active transport/enzyme induction/inhibition/low clearance compounds. Alternatively improve PBK model by integrating other relevant ADME processes into the model structure like enterohepatic circulation, saturable metabolism etc.. Continue to BB007 if not already done beforehand. 		Specific modellig of transporters or other routes of expsoure eg dermal/inhalation etc	Refined estimate of internal concentration	B0013				
B0013	BB047_01	text	Run PBK model	TASK	Adopt (if neccessary)  the PBK approach, e.g. by including more ADME data and/or processes				X0001				
B0014	BB008_01	text	Derive estimates of relevant test concentrations	TASK	Derive estimates of relevant test concentrations using available information on ADME properties. Use the result for hazard testing. 	This would be done on tier 0 data? and would be earlier in reality. You need a quick estimate for the hazard testing even if conservative? Also conisder using highest concentration from human expsoure as upper limit	Estimates of absorption, distribution and clearance	Internal free plasma concentration that can be used to set upper limit for hazard testing?	H0005,H0012			BB0021	
E0001	BB020_01	text	Map the uses of the substance	TASK	Describe the possible uses of the substance across different pathways (such as consumer, dietary, occupational, environmental). Include a short summary of available data.	Gather information on the potential uses of the substance across various pathways, including consumer, dietary, occupational, and environmental routes. Key questions to address include: In which contexts does the substance occur? Through which pathways is it utilized? Map these uses using the REACH use descriptor system and, where possible, include contextual data such as frequency and quantity.	Give list of possible databases to find use and exposure information.		E0002			OP040	
E0002	BB021_01	text	Screen possible exposure scenarios	TASK	Systematically identify and evaluate the situations where individuals and/or the environment may come into contact with a substance, considering factors such as sources and pathways, volume distribution and available. Consider the target populations defined in the problem formulation. Where available, collect existing relevant external exposure data. 	Identify and collect the most relevant exposure modeling scenarios and available measurement data. Address key questions such as: What are the possible sources and exposure routes? Which scenarios are most relevant? Who are the most relevant target (sub-)populations (who, where, when) if not already clearly defined in the problem formulation (e.g. specific industrial processes or a geographical specification)? Conduct a search for existing data to support the assessment.			E0003			DP25	
E0003	OP040_01	text	Prioritize routes of exposure	OPERATOR	Prioritize exposure route(s) based on a basic set of ADME properties (BB004). Utilize ADME properties to evaluate the efficiency of absorption for each route and determine which exposure routes are most significant given the problem formulation.	Review the available ADME properties (BB004) of the substance to assess absorption potential via inhalation, dermal, and oral routes. For each route, evaluate absorption efficiency using available ADME data (such as absorption rate or bioavailability) and consider relevant physicochemical properties (e.g., molecular weight, lipophilicity, water solubility) that may influence absorption. Assess the relative impact of each exposure route based on the ADME properties		Tier 0 BB004_01 (Absorption)	E0004			"Yes: OP026
No: BB022"	
E0004	DP25EF_01	bool	Is external exposure known? 	LOGICAL	Assess whether an external exposure estimate is available and evaluate its quality to determine whether it is sufficient as an initial worst-case estimate for translation into an internal concentration. This internal concentration can then serve as a guide for setting testing concentrations in in vitro studies (DP06EF).	"When evaluating the quality of an external exposure estimate, some important quality criteria might include:
1. Relevance: Is the estimate based on data/scenarios that are representative of the actual use conditions and populations of interest?
2. Transparency and Documentation: Are the data sources, assumptions, and calculation methods clearly described and justified?
3. Data Source Reliability: Are the underlying data from reputable, validated, and recent sources (e.g., peer-reviewed literature, regulatory databases)?
4. Completeness: Are all relevant exposure routes, sources, and populations considered, or are there significant gaps?
5. Accuracy and Precision: Is the estimate based on measured data, modeled data, or expert judgment? Are uncertainty and variability addressed or quantified?
6. Temporal and Spatial Relevance: Are the data and scenarios current and geographically appropriate?
7. Peer Review or Validation: Has the method or estimate been subject to peer review or external validation?
8. Applicability for Purpose: Is the estimate suitable as a worst-case scenario for the intended translation to internal concentrations and in vitro testing?"				X0002	E0005	DP14	
E0005	BB022_02	text	Estimate highest exposure for main route(s) and source(s)	TASK	Calculate the highest (worst-case) exposure for target population(s) and relevant source(s) and route(s) by combining the collected data with absorption efficiency, taking into account factors such as frequency and duration of exposure. The resulting estimates will serve as input for high-content in vitro data interpretation and high-throughput PBK modeling.	"Calculate the highest (worst-case) exposure for target population(s) and relevant source(s) and route(s) by combining the collected data with absorption efficiency, taking into account factors such as frequency and duration of exposure. Apply worst-case assumptions and use low-input screening exposure models (such as ECETOC TRA or MEASE) or sum the maximum allowed concentrations from available sources. Assume maximal exposure durations (e.g., full-shift for workers or full-day for consumers) and frequencies (e.g., performing the highest-exposure task all day, or simultaneous use of all relevant products in one day). Use these assumptions to ensure conservative (protective) exposure estimates. The resulting estimates will serve as input for high-content in vitro data interpretation and high-throughput PBK modeling.
"		Input assumptions include a defined exposure scenario.	E0006			No: OP060; Yes: OP026	
