id	label	result_type	name	category	description	method_type	method_link	next_node	next_yes	next_no
A0010	DP01EF_01	bool	Information sufficient?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation				A0004	H0001,B0001,E0001
H0001	BB008_01	value	Generate in silico predictions of hazard	TASK	Generate in silico predictions of hazard	in silico	local_models	H0002,H0004		
H0002	BB009_01	value	Generate high-throughput in vitro data	TASK	Use an assembly of assays that broadly characterize bioactivity of the compound at question over a large concentration range. Example for such assays (RH3R version of ASPA) are stress reporter assays, luciferase signal transduction assays, cytotoxicity assays in 3 cell lines (proliferating HepG2, LUHMES, RPTEC), and a transcrptomic assay in HepG2 cells. [Possibly expand the battery by an assay for AChE activity, a MEA assay and a metabolic activation assay (PHH)]. Determine concentration ranges with no effect, potentially specific effects, and of general cytotoxicity. Use various routines to identify relevant modes of action (for toxicity), based on bioactivity data.	in vitro		H0003		
H0003	BB010_01	text	Integration of results	TASK	Analyze and integrate the results obtained in previous steps	expert		H0009		
H0004	DP06EF_01	bool	Alert for genotoxicity, eye irritation, skin irritation or sensitization?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation				H0005	H0002
H0005	BB011_01	text	Defined approaches and/or dedicated tests to confirm or characterize alert	TASK	Defined approaches and/or dedicated tests to confirm or characterize alert	in vitro		H0006		
H0006	BB012_01	text	Integration of results	TASK	Analyze and integrate the results obtained in previous steps	expert		H0007		
H0007	DP07EF_01	bool	Information sufficient?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation				H0003	H0008
H0008	BB013_01	value	Perform dedicated tests for data gap filling	TASK	Perform dedicated tests for data gap filling	in vitro		H0003		
H0009	DP08EF_01	bool	Toxicological alters identified? AOPs triggered?	LOGICAL	Toxicological alters identified? AOPs triggered?				H0010	H0011
H0010	DP09EF_01	bool	Information sufficient?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation				H0014	H0011
H0011	BB015_01	value	Generate medium-throughput in vitro toxicity data	TASK	Generate medium-throughput in vitro toxicity data	in vitro		H0012		
H0012	BB016_01	text	Integration of results	TASK	Integration of results	expert		H0013		
H0013	DP09EF_01	bool	Information sufficient?	LOGICAL	Justify if existing data is sufficient for answering the question posed in the Problem Formulation				H0014	B0009
H0014	BB017_01	value	Derive Point-of-Departure POD	TASK	Derive Point-of-Departure POD	expert		X0001		
B0001	DP03EF_01	bool	Are ADME properties known?	LOGICAL	Are ADME properties known?				B0003,B0010	B0002
B0002	BB003_01	value	Generate basic set of in silico and in vitro ADME data	TASK	Generate basic set of in silico and in vitro ADME data	in silico		B0003		
B0003	BB004_01	value	Run PBPK model	TASK	Run PBPK model	in silico		B0005,E0005		
B0005	DP04EF_01	bool	Prediction of PBPK model acceptable?	LOGICAL	Prediction of PBPK model acceptable?				B0010	B0006
B0006	BB005_01	value	Generated data for additional ADME parameters	TASK	Generated data for additional ADME parameters	in vitro		B0007		
B0007	BB006_01	value	Run PBK model	TASK	Run PBK model	in silico		B0008		
B0008	DP05EF_01	bool	Prediction of PBPK model acceptable?	LOGICAL	Prediction of PBPK model acceptable?				B0010	B0009
B0009	BB007_01	text	Consider other types of relevant testing	TASK	Consider other types of relevant testing	expert		Z0001		
B0010	BB014_01	value	Derive estimates of relevant test concentrations	TASK	Derive estimates of relevant test concentrations	expert		H0011		
E0001	BB022_01	text	Identify and specify user scenarios	TASK	Identify and specify user scenarios	expert		E0002		
E0002	DP10EF_01	bool	Is TTC applicable?	LOGICAL	Is TTC applicable?				E0008	E0003
E0003	BB023_01	value	Estimate external exposure	TASK	Estimate external exposure	expert		E0004		
E0004	BB024_01	value	Determine maximum exposure Emax	TASK	Determine maximum exposure Emax	expert		B0003,E0005		
E0005	BB028_01	value	Calculate internal exposure using Emax	TASK	Calculate internal exposure using Emax	expert		X0001		
E0006	BB029_01	value	Refine exposure estimate, for example dominant pathway	TASK	Refine exposure estimate, for example dominant pathway	expert		E0007		
E0007	BB030_01	value	Calculate internal exposure, refined	TASK	Calculate internal exposure, refined	expert		X0001		
E0008	BB023_01	value	Estimate external exposure	TASK	Estimate external exposure	expert		E0009		
E0009	BB024_01	value	Determine maximum exposure Emax	TASK	Determine maximum exposure Emax	expert		E0010		
E0010	BB025_01	text	Perform TTC approach	TASK	Perform TTC approach	expert		E0011		
E0011	DP11EF_01	bool	Is Emax lower than TTC?	LOGICAL	Is Emax lower than TTC?				Z0001	E0012
E0012	BB026_01	value	Refine estimation of Emax with further data	TASK	Refine estimation of Emax with further data	expert		E0013		
E0013	BB025_01	text	Perform TTC approach	TASK	Perform TTC approach	expert		E0014		
E0014	DP11EF_01	bool	Is Emax lower than TTC?	LOGICAL	Is Emax lower than TTC?				Z0001	E0003
X0001	BB018_01	text	Compare POD with exposure	TASK	Compare POD with exposure			X0002		
X0002	DP14EF_01	bool	Is the outcome acceptable?	LOGICAL	Is the outcome acceptable?				Z0001	X0003,E0006
X0003	DP12EF_01	bool 	Is deterministic refinement possible?	LOGICAL	Is deterministic refinement possible?				X0006	X0004
X0004	DP13EF_01	bool	Is probabilistic refinement possible?	LOGICAL	Is probabilistic refinement possible?				X0006	X0005
X0005	BB032_01	text	Generate or collect data needed for probabilistic approaches	TASK	Generate or collect data needed for probabilistic approaches	expert		X0006		
X0006	BB031_01	value	Calculate internal exposure, further refined	TASK	Calculate internal exposure, further refined	expert		X0001		
